"EPCI_EPT","TYPO_IPCE","TYPO_INEG","TYPO_FREI"
"200066785","FAV","Q4","MOY"
"200066793","FAVP","Q2","FAV"
"200066801","MOY","Q3","DEG"
"200066819","FAV","Q3","MOY"
"200066827","MOY","Q4","MOY"
"200066835","MOY","Q2","DEGP"
"200066850","MOY","Q3","MOY"
"200066868","MOY","Q5","FAV"
"200066876","MOY","Q2","MOY"
"200066884","MOY","Q3","MOY"
"200066892","MOY","Q3","DEG"
"200066918","DEGP","Q4","DEGP"
"200066926","MOY","Q1","FAVP"
"200066975","FAV","Q2","MOY"
"200067023","MOY","Q1","FAV"
"200067031","MOY","Q5","MOY"
"200067049","MOY","Q4","DEG"
"200067064","DEG","Q5","DEGP"
"200067072","FAV","Q2","FAVP"
"200067080","FAV","Q2","FAV"
"200067106","MOY","Q1","MOY"
"200067114","MOY","Q1","MOY"
"200067122","MOY","Q3","MOY"
"200067130","MOY","Q3","MOY"
"200067155","FAV","Q2","FAVP"
"200067163","FAV","Q1","FAVP"
"200067171","FAV","Q3","FAVP"
"200067189","MOY","Q2","DEG"
"200067197","DEG","Q3","MOY"
"200067205","MOY","Q4","FAV"
"200067213","MOY","Q1","MOY"
"200067221","FAV","Q3","MOY"
"200067239","FAVP","Q3","MOY"
"200067247","FAV","Q4","FAV"
"200067254","MOY","Q2","FAV"
"200067262","FAV","Q2","MOY"
"200067288","DEG","Q5","DEG"
"200067296","FAV","Q3","MOY"
"200067304","DEG","Q4","MOY"
"200067320","MOY","Q2","MOY"
"200067346","FAV","Q4","FAVP"
"200067361","MOY","Q3","MOY"
"200067379","DEGP","Q5","DEGP"
"200067429","DEGP","Q3","MOY"
"200067437","MOY","Q2","MOY"
"200067445","MOY","Q4","MOY"
"200067452","FAVP","Q2","FAVP"
"200067460","MOY","Q2","MOY"
"200067478","FAVP","Q1","FAVP"
"200067486","MOY","Q5","DEG"
"200067502","DEG","Q5","DEG"
"200067544","MOY","Q2","DEG"
"200067551","FAV","Q4","MOY"
"200067593","MOY","Q3","DEG"
"200067627","FAV","Q2","MOY"
"200067635","FAVP","Q2","FAVP"
"200067643","FAV","Q4","DEG"
"200067650","MOY","Q5","DEG"
"200067668","MOY","Q3","DEG"
"200067676","FAV","Q3","DEG"
"200067684","MOY","Q2","MOY"
"200067692","DEG","Q4","DEG"
"200067700","MOY","Q2","FAV"
"200067742","FAV","Q1","MOY"
"200067759","DEG","Q5","DEG"
"200067767","MOY","Q2","MOY"
"200067783","FAV","Q4","MOY"
"200067791","DEG","Q2","MOY"
"200067817","FAV","Q2","MOY"
"200067825","MOY","Q2","FAVP"
"200067841","MOY","Q5","DEG"
"200067866","FAVP","Q2","FAVP"
"200067874","MOY","Q3","MOY"
"200067882","DEG","Q4","MOY"
"200067890","MOY","Q1","DEG"
"200067908","MOY","Q2","DEG"
"200067916","MOY","Q4","FAV"
"200067924","FAVP","Q1","MOY"
"200067932","MOY","Q1","FAV"
"200067940","MOY","Q2","MOY"
"200067957","FAVP","Q3","MOY"
"200067965","MOY","Q2","MOY"
"200067973","FAV","Q1","MOY"
"200067981","MOY","Q2","FAV"
"200067999","DEG","Q2","DEGP"
"200068005","MOY","Q3","DEG"
"200068047","DEGP","Q5","DEGP"
"200068070","FAVP","Q3","MOY"
"200068088","MOY","Q1","FAVP"
"200068096","FAV","Q1","MOY"
"200068104","DEG","Q4","MOY"
"200068112","FAV","Q2","MOY"
"200068120","FAV","Q1","FAVP"
"200068146","MOY","Q4","MOY"
"200068229","DEG","Q4","MOY"
"200068278","MOY","Q3","DEG"
"200068294","MOY","Q5","MOY"
"200068369","MOY","Q4","MOY"
"200068377","MOY","Q2","FAV"
"200068435","MOY","Q1","DEG"
"200068443","MOY","Q3","MOY"
"200068450","MOY","Q2","FAV"
"200068468","MOY","Q4","DEGP"
"200068484","FAV","Q2","MOY"
"200068500","DEG","Q3","DEGP"
"200068534","MOY","Q5","MOY"
"200068542","FAV","Q3","MOY"
"200068559","MOY","Q4","FAV"
"200068567","MOY","Q4","MOY"
"200068625","MOY","Q4","MOY"
"200068641","FAV","Q2","MOY"
"200068658","FAV","Q1","FAVP"
"200068666","DEGP","Q5","MOY"
"200068674","FAV","Q3","MOY"
"200068682","MOY","Q4","MOY"
"200068757","MOY","Q2","MOY"
"200068765","DEG","Q3","MOY"
"200068773","DEG","Q4","DEG"
"200068781","MOY","Q3","MOY"
"200068799","MOY","Q3","MOY"
"200068807","FAV","Q3","MOY"
"200068815","MOY","Q4","MOY"
"200068831","FAV","Q3","MOY"
"200068856","MOY","Q3","DEGP"
"200068864","FAVP","Q2","MOY"
"200068872","MOY","Q2","FAVP"
"200068880","FAV","Q1","MOY"
"200068914","MOY","Q2","FAVP"
"200068922","DEG","Q4","DEG"
"200068930","DEGP","Q3","DEG"
"200068948","MOY","Q3","DEG"
"200068955","FAVP","Q3","DEG"
"200068963","FAVP","Q3","MOY"
"200068989","FAV","Q2","MOY"
"200068997","MOY","Q5","MOY"
"200069003","MOY","Q3","MOY"
"200069029","MOY","Q2","MOY"
